"Y"	"t.j"	"r.i"	"L"	"Env"	"G"	"Rep"	"Group"	"GG"	"Yield"
"187"	"2010"	2010	1980	"Comilla"	"2010-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	4.97
"188"	"2010"	2010	1980	"Gazipur"	"2010-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	5.25
"189"	"2010"	2010	1980	"Rajshahi"	"2010-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	5.8025
"190"	"2010"	2010	1980	"Rangpur"	"2010-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	4.6
"191"	"2010"	2010	1980	"Satkhira"	"2010-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	4.51875
"192"	"2010"	2010	1980	"Sonagazi"	"2010-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	4.79
"193"	"2010"	2010	1980	"Kustia"	"2010-Kustia"	"BR10"	"2"	"Long"	"Long-BR10"	6.9
"194"	"2011"	2011	1980	"Barisal"	"2011-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	3.59
"195"	"2011"	2011	1980	"Comilla"	"2011-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	1.73
"196"	"2011"	2011	1980	"Gazipur"	"2011-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	4.3
"197"	"2011"	2011	1980	"Rajshahi"	"2011-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	7.1
"198"	"2011"	2011	1980	"Rangpur"	"2011-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	4.4
"199"	"2011"	2011	1980	"Satkhira"	"2011-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	4.390625
"200"	"2011"	2011	1980	"Sonagazi"	"2011-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	5.5
"201"	"2011"	2011	1980	"Kustia"	"2011-Kustia"	"BR10"	"2"	"Long"	"Long-BR10"	4.55
"202"	"2012"	2012	1980	"Kustia"	"2012-Kustia"	"BR10"	"2"	"Long"	"Long-BR10"	5.3
"203"	"2012"	2012	1980	"Sonagazi"	"2012-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	4.81
"204"	"2012"	2012	1980	"Comilla"	"2012-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	5.19
"205"	"2012"	2012	1980	"Gazipur"	"2012-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	5.987
"206"	"2012"	2012	1980	"Rajshahi"	"2012-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	5.6
"207"	"2012"	2012	1980	"Rangpur"	"2012-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	2.4
"208"	"2012"	2012	1980	"Satkhira"	"2012-Satkhira"	"BR10"	"2"	"Long"	"Long-BR10"	2.97
"209"	"2012"	2012	1980	"Barisal"	"2012-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	3.54
"210"	"2013"	2013	1980	"Kustia"	"2013-Kustia"	"BR10"	"2"	"Long"	"Long-BR10"	5.2
"211"	"2013"	2013	1980	"Sonagazi"	"2013-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	4.68
"212"	"2013"	2013	1980	"Comilla"	"2013-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	5.065
"213"	"2013"	2013	1980	"Gazipur"	"2013-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	6.5
"214"	"2013"	2013	1980	"Rajshahi"	"2013-Rajshahi"	"BR10"	"2"	"Long"	"Long-BR10"	5.54
"215"	"2013"	2013	1980	"Rangpur"	"2013-Rangpur"	"BR10"	"2"	"Long"	"Long-BR10"	3
"216"	"2013"	2013	1980	"Barisal"	"2013-Barisal"	"BR10"	"2"	"Long"	"Long-BR10"	5.06
"217"	"2014"	2014	1980	"Kustia"	"2014-Kustia"	"BR10"	"2"	"Long"	"Long-BR10"	4.59
"218"	"2014"	2014	1980	"Sonagazi"	"2014-Sonagazi"	"BR10"	"2"	"Long"	"Long-BR10"	3.16
"219"	"2014"	2014	1980	"Comilla"	"2014-Comilla"	"BR10"	"2"	"Long"	"Long-BR10"	4.94
"220"	"2014"	2014	1980	"Gazipur"	"2014-Gazipur"	"BR10"	"2"	"Long"	"Long-BR10"	7
