SL	Year	Location	Year of release	Rep	Variety	Group	Yield
2216	2002	Rangpur	1980	2	BR11	Medium	3.79
2217	2002	Satkhira	1980	2	BR11	Medium	6.585697674
2218	2002	Sonagazi	1980	2	BR11	Medium	4.298767442
2219	2003	Barisal	1980	2	BR11	Medium	5.161674419
2220	2003	Comilla	1980	2	BR11	Medium	2.307667442
2221	2003	Gazipur	1980	2	BR11	Medium	2.051244186
2222	2003	Rajshahi	1980	2	BR11	Medium	4.1095
2223	2003	Rangpur	1980	2	BR11	Medium	4.116569767
2224	2003	Satkhira	1980	2	BR11	Medium	7.520930233
2225	2003	Sonagazi	1980	2	BR11	Medium	1.86
2226	2004	Barisal	1980	2	BR11	Medium	3.220298281
2227	2004	Comilla	1980	2	BR11	Medium	2.107905814
2228	2004	Gazipur	1980	2	BR11	Medium	4.295
2229	2004	Rajshahi	1980	2	BR11	Medium	2.873953488
2230	2004	Rangpur	1980	2	BR11	Medium	3.32
2231	2004	Satkhira	1980	2	BR11	Medium	6.579534884
2232	2004	Sonagazi	1980	2	BR11	Medium	3.318393235
2233	2004	Kustia	1980	2	BR11	Medium	3.211
2234	2005	Barisal	1980	2	BR11	Medium	3.872
